sa1_main16,bp_Easy,bp_NA,bp_Medium,bp_Hard,n,cf_Hard,cf_Medium,cf_Easy,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
30101100201,8,6,0,0,14,6,8,0,0,8,6,0,0
30101100202,7,0,0,0,7,0,7,0,0,0,0,7,0
30101100203,5,7,0,0,12,0,0,5,7,5,0,0,7
30101100204,0,6,0,0,6,0,0,0,6,0,0,0,6
30101100205,8,0,8,0,16,0,7,9,0,7,1,8,0
30101100206,0,1,0,0,1,0,0,0,1,0,0,0,1
30101100207,0,1,0,0,1,0,0,0,1,0,0,0,1
30101100208,0,2,0,0,2,1,0,0,1,0,0,1,1
30101100209,0,1,1,0,2,0,0,2,0,2,0,0,0
30101100210,5,1,0,0,6,0,5,0,1,0,0,5,1
30101100211,2,0,0,0,2,0,2,0,0,2,0,0,0
30101100213,4,0,4,0,8,0,8,0,0,0,4,4,0
30101100214,4,0,0,0,4,4,0,0,0,4,0,0,0
30101100217,9,2,0,0,11,0,0,9,2,9,0,0,2
30101100218,4,0,0,0,4,0,4,0,0,4,0,0,0
30101100219,0,4,0,0,4,0,0,0,4,0,0,0,4
30101100220,0,4,4,0,8,8,0,0,0,4,0,4,0
30101100326,0,1,0,0,1,0,0,0,1,0,0,0,1
30101100407,0,1,0,0,1,0,0,0,1,0,0,0,1
30101100510,0,4,0,0,4,0,0,0,4,0,0,0,4
30103101501,0,6,0,0,6,0,0,0,6,0,0,0,6
30103101502,2,6,0,0,8,0,0,3,5,2,1,0,5
30103101503,0,2,0,0,2,0,0,2,0,2,0,0,0
30103101504,0,2,6,0,8,0,0,7,1,1,0,6,1
30103101505,2,0,0,0,2,0,1,1,0,0,0,2,0
30103101506,1,0,0,1,2,1,0,1,0,2,0,0,0
30103101507,1,0,0,0,1,0,1,0,0,1,0,0,0
30103101508,0,2,0,0,2,0,0,1,1,1,0,0,1
30103101510,0,2,2,0,4,2,0,2,0,2,1,1,0
30103101511,0,1,0,0,1,0,0,0,1,0,0,0,1
30103101512,3,0,2,0,5,3,0,2,0,2,2,1,0
30103101515,0,0,1,0,1,0,1,0,0,1,0,0,0
30103101517,1,4,1,0,6,0,1,4,1,4,0,1,1
30103101518,0,1,0,1,2,1,0,1,0,2,0,0,0
30103101519,0,4,0,0,4,0,0,1,3,1,0,0,3
30103101601,1,2,0,0,3,0,1,0,2,0,0,1,2
30103101602,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101603,0,4,0,0,4,0,0,4,0,4,0,0,0
30103101604,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101605,0,3,0,0,3,1,0,0,2,0,0,1,2
30103101606,2,8,0,0,10,0,0,10,0,10,0,0,0
30103101607,2,2,0,0,4,0,2,2,0,2,0,2,0
30103101609,0,2,0,0,2,0,0,0,2,0,0,0,2
30103101610,0,2,0,0,2,0,0,2,0,2,0,0,0
30103101611,2,0,0,0,2,0,0,2,0,2,0,0,0
30103101612,1,1,0,0,2,0,0,1,1,0,0,1,1
30103101613,0,3,2,0,5,2,0,3,0,3,2,0,0
30103101614,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101615,4,0,2,0,6,2,0,4,0,4,0,2,0
30103101616,2,0,2,0,4,2,0,2,0,2,0,2,0
30103101618,2,2,0,0,4,0,0,4,0,4,0,0,0
30103101619,0,0,2,3,5,5,0,0,0,3,0,2,0
30103101620,2,0,4,0,6,4,0,2,0,6,0,0,0
30103101621,8,0,0,0,8,3,5,0,0,5,3,0,0
30103101622,9,4,0,0,13,0,0,13,0,13,0,0,0
30103101623,1,0,0,0,1,0,0,1,0,0,1,0,0
30103101701,0,7,0,0,7,0,0,1,6,1,0,0,6
30103101702,0,0,1,0,1,0,1,0,0,1,0,0,0
30103101707,5,0,0,0,5,0,0,5,0,5,0,0,0
30103101708,1,0,0,0,1,0,1,0,0,0,1,0,0
30103101709,4,0,0,0,4,0,0,4,0,1,3,0,0
30103101711,1,0,0,0,1,0,0,1,0,0,0,1,0
30103101801,6,1,0,0,7,0,0,6,1,0,0,6,1
30103101802,7,0,0,0,7,0,0,7,0,7,0,0,0
30103101803,0,0,5,0,5,0,0,5,0,5,0,0,0
30103101804,7,5,0,0,12,7,0,0,5,7,0,0,5
30103101805,0,0,6,0,6,0,6,0,0,6,0,0,0
30103101806,4,4,4,0,12,0,4,8,0,12,0,0,0
30103101807,6,0,0,0,6,0,3,3,0,3,0,3,0
30103101808,9,0,0,0,9,0,6,3,0,6,0,3,0
30103101809,6,3,0,0,9,0,6,3,0,3,6,0,0
30103101810,3,4,0,0,7,0,0,7,0,4,0,3,0
30103101811,3,3,0,0,6,0,3,3,0,3,0,3,0
30103101813,0,3,0,0,3,0,0,3,0,3,0,0,0
30103101814,1,0,0,0,1,0,0,1,0,1,0,0,0
30103101815,0,4,0,0,4,0,0,4,0,4,0,0,0
30103101816,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101817,0,1,0,0,1,0,0,0,1,0,0,0,1
30103101818,0,0,1,0,1,1,0,0,0,1,0,0,0
30103101821,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101822,3,4,0,0,7,3,0,4,0,4,0,3,0
30103101823,6,4,0,0,10,0,6,0,4,6,0,0,4
30103101824,2,2,1,0,5,0,2,3,0,3,2,0,0
30103101904,6,4,0,0,10,0,3,3,4,6,0,0,4
30103101905,0,3,0,0,3,0,0,3,0,3,0,0,0
30103101906,3,0,0,0,3,0,0,3,0,0,0,3,0
30103101908,0,2,0,0,2,0,0,0,2,0,0,0,2
30103101910,0,2,0,0,2,0,0,2,0,2,0,0,0
30103101912,3,0,0,0,3,0,0,3,0,3,0,0,0
30103101914,0,2,0,0,2,0,0,0,2,0,0,0,2
30103101915,0,3,0,0,3,0,0,0,3,0,0,0,3
30103101917,1,2,0,0,3,0,0,1,2,1,0,0,2
30103101918,0,6,0,0,6,0,0,0,6,0,0,0,6
30103101919,0,8,0,0,8,0,0,4,4,4,0,0,4
30103101921,0,6,0,0,6,0,0,0,6,0,0,0,6
30103101923,2,2,0,0,4,0,0,4,0,4,0,0,0
30103101924,0,2,0,0,2,0,0,0,2,0,0,0,2
30103102001,0,2,0,0,2,0,0,0,2,0,0,0,2
30103102002,0,6,0,0,6,0,0,5,1,5,0,0,1
30103102004,1,2,0,0,3,0,1,2,0,3,0,0,0
30103102005,11,5,0,0,16,0,6,8,2,14,0,0,2
30103102006,12,3,0,0,15,0,8,7,0,11,0,4,0
30103102007,0,4,0,0,4,0,0,2,2,2,0,0,2
30103102011,0,0,1,0,1,0,1,0,0,1,0,0,0
30103102012,3,0,0,0,3,0,1,2,0,3,0,0,0
30103102013,5,0,0,0,5,0,0,5,0,5,0,0,0
30103102014,4,1,0,0,5,1,2,2,0,5,0,0,0
30103102015,1,0,0,0,1,0,1,0,0,1,0,0,0
30103102016,3,0,0,2,5,2,0,3,0,3,2,0,0
30103102017,2,1,0,0,3,0,1,1,1,1,0,1,1
30103102019,0,8,5,2,15,0,3,9,3,9,0,3,3
30103102020,0,1,0,0,1,0,1,0,0,1,0,0,0
30103102021,0,1,1,0,2,0,0,2,0,1,1,0,0
30103102022,0,2,0,0,2,0,0,2,0,2,0,0,0
30103102023,1,0,1,0,2,0,1,1,0,0,0,2,0
30103102025,0,1,0,0,1,0,0,0,1,0,0,0,1
30103102026,0,1,0,0,1,0,0,0,1,0,0,0,1
30103102027,1,0,0,0,1,0,0,1,0,0,1,0,0
30103102028,1,1,1,0,3,1,1,1,0,1,1,1,0
30103102030,0,6,0,0,6,0,0,2,4,2,0,0,4
30103102101,2,0,0,0,2,2,0,0,0,2,0,0,0
30103102102,0,2,0,0,2,0,0,0,2,0,0,0,2
30103102103,2,4,0,0,6,2,0,2,2,4,0,0,2
30103102104,0,2,0,0,2,0,0,2,0,2,0,0,0
30103102105,0,2,0,0,2,0,0,0,2,0,0,0,2
30103102106,2,0,0,0,2,0,0,2,0,2,0,0,0
30103102107,0,10,1,0,11,1,0,0,10,0,0,1,10
30103102108,0,4,0,0,4,0,0,0,4,0,0,0,4
30103102109,2,0,0,0,2,1,0,1,0,2,0,0,0
30103102110,0,1,1,0,2,1,0,1,0,2,0,0,0
30103102111,2,2,0,0,4,0,2,1,1,3,0,0,1
30103102113,1,0,1,0,2,1,1,0,0,0,1,1,0
30103102114,1,1,1,0,3,1,1,1,0,3,0,0,0
30103102115,4,0,0,0,4,1,3,0,0,1,0,3,0
30103102116,3,0,0,0,3,0,2,1,0,2,1,0,0
30103102117,0,0,1,0,1,0,1,0,0,1,0,0,0
30103102118,2,1,0,0,3,0,2,1,0,2,0,1,0
30103102119,4,0,0,0,4,4,0,0,0,0,4,0,0
30103102120,1,1,1,0,3,0,0,2,1,1,0,1,1
30103102121,2,1,0,0,3,0,1,2,0,2,0,1,0
30103102122,0,4,0,0,4,0,0,0,4,0,0,0,4
30103102124,1,0,0,0,1,0,0,1,0,1,0,0,0
30103102127,1,0,0,0,1,0,0,1,0,1,0,0,0
30103102128,1,0,1,0,2,0,2,0,0,2,0,0,0
30103102129,0,0,1,0,1,0,0,1,0,1,0,0,0
30103102131,10,0,0,0,10,0,5,5,0,5,0,5,0
30103102132,0,2,0,0,2,0,0,0,2,0,0,0,2
30103102134,0,0,1,0,1,1,0,0,0,0,0,1,0
30103102137,0,3,0,0,3,0,0,0,3,0,0,0,3
30103102138,0,1,0,0,1,1,0,0,0,0,1,0,0
30103102139,2,2,0,0,4,0,0,2,2,0,0,2,2
30103102140,0,1,0,0,1,0,0,0,1,0,0,0,1
30201102201,0,1,0,0,1,0,0,1,0,1,0,0,0
30201102205,2,2,0,0,4,0,1,2,1,3,0,0,1
30201102206,0,4,0,0,4,0,0,0,4,0,0,0,4
30201102207,2,0,0,0,2,0,2,0,0,2,0,0,0
30201102208,0,0,1,0,1,0,0,1,0,1,0,0,0
30201102209,0,0,1,0,1,1,0,0,0,1,0,0,0
30201102217,0,2,0,0,2,0,0,1,1,1,0,0,1
30201102220,0,0,1,0,1,0,0,1,0,1,0,0,0
30201102221,0,0,4,0,4,3,0,1,0,4,0,0,0
30201102223,1,0,0,0,1,0,0,1,0,1,0,0,0
30201102225,0,1,0,0,1,0,0,0,1,0,0,0,1
30201102226,0,0,1,0,1,1,0,0,0,1,0,0,0
30201102227,1,0,0,0,1,0,0,1,0,1,0,0,0
30201102228,0,1,0,0,1,0,0,0,1,0,0,0,1
30201102229,0,0,1,0,1,0,0,1,0,1,0,0,0
30201102230,0,3,0,0,3,0,0,3,0,3,0,0,0
30201102301,0,3,0,0,3,0,0,0,3,0,0,0,3
30201102307,0,2,0,0,2,0,0,0,2,0,0,0,2
30201102311,2,0,0,0,2,0,2,0,0,2,0,0,0
30201102312,2,0,0,0,2,0,0,2,0,0,2,0,0
30201102313,4,2,2,0,8,2,2,2,2,0,0,6,2
30201102315,1,0,0,0,1,0,0,1,0,1,0,0,0
30201102316,0,2,0,0,2,0,0,0,2,0,0,0,2
30201102317,3,0,0,0,3,0,0,3,0,3,0,0,0
30201102318,0,3,0,0,3,0,0,3,0,3,0,0,0
30201102319,0,0,5,0,5,0,3,2,0,3,2,0,0
30201102401,3,3,0,0,6,0,0,6,0,5,0,1,0
30201102403,2,4,0,0,6,0,0,6,0,6,0,0,0
30201102406,0,1,0,0,1,0,0,1,0,1,0,0,0
30201102407,0,6,0,0,6,0,0,6,0,6,0,0,0
30201102409,0,0,0,1,1,0,0,1,0,0,0,1,0
30201102410,4,0,0,0,4,0,4,0,0,4,0,0,0
30201102412,0,0,0,1,1,1,0,0,0,1,0,0,0
30201102413,0,0,1,1,2,1,0,1,0,0,1,1,0
30201102414,1,0,0,0,1,0,0,1,0,1,0,0,0
30201102415,3,0,0,0,3,0,0,3,0,3,0,0,0
30201102416,1,0,0,0,1,0,0,1,0,0,0,1,0
30201102417,0,1,0,0,1,0,0,1,0,1,0,0,0
30201102418,1,4,0,0,5,0,0,5,0,5,0,0,0
30201102419,0,1,0,0,1,0,0,1,0,1,0,0,0
30201102421,0,1,0,0,1,0,0,0,1,0,0,0,1
30201102422,0,0,1,0,1,0,0,1,0,1,0,0,0
30201102423,3,0,0,0,3,0,0,3,0,3,0,0,0
30201102424,3,1,0,0,4,0,0,4,0,4,0,0,0
30201102501,0,1,2,0,3,2,0,1,0,1,0,2,0
30201102502,5,0,0,0,5,0,0,5,0,5,0,0,0
30201102503,0,3,0,1,4,0,0,1,3,0,0,1,3
30201102504,0,0,0,1,1,0,1,0,0,0,0,1,0
30201102505,0,0,6,0,6,0,0,6,0,1,5,0,0
30201102506,6,0,3,0,9,2,0,7,0,2,1,6,0
30201102507,2,2,0,0,4,0,0,3,1,3,0,0,1
30201102508,7,2,0,0,9,0,0,9,0,9,0,0,0
30201102509,2,4,0,0,6,2,0,2,2,2,2,0,2
30201102510,0,8,1,0,9,2,0,7,0,8,1,0,0
30201102511,0,8,2,0,10,0,0,4,6,4,0,0,6
30201102514,0,0,2,0,2,2,0,0,0,2,0,0,0
30201102515,0,0,3,0,3,3,0,0,0,3,0,0,0
30201102516,1,0,1,1,3,1,0,2,0,2,1,0,0
30201102517,2,2,0,0,4,2,0,2,0,2,2,0,0
30201102518,3,0,0,0,3,0,0,3,0,0,0,3,0
30201102519,0,0,1,0,1,0,1,0,0,0,0,1,0
30201102602,0,2,0,0,2,0,0,0,2,0,0,0,2
30201102603,0,0,0,2,2,0,0,2,0,0,2,0,0
30201102605,1,2,0,0,3,0,0,3,0,3,0,0,0
30201102606,0,2,0,0,2,0,0,2,0,2,0,0,0
30201102607,8,0,0,2,10,0,0,10,0,3,3,4,0
30201102608,2,0,0,0,2,0,0,2,0,2,0,0,0
30201102611,1,0,0,0,1,0,0,1,0,0,0,1,0
30201102612,3,0,0,0,3,0,0,3,0,0,0,3,0
30201102614,2,0,2,0,4,0,0,4,0,2,0,2,0
30201102615,2,0,0,0,2,0,0,2,0,2,0,0,0
30201102616,8,1,0,0,9,1,2,6,0,6,1,2,0
30201102617,2,0,2,0,4,0,0,4,0,2,0,2,0
30202102701,0,1,1,0,2,1,0,1,0,2,0,0,0
30202102705,0,1,1,0,2,0,1,1,0,2,0,0,0
30202102706,4,4,4,0,12,4,4,0,4,4,0,4,4
30202102708,8,1,0,0,9,0,4,5,0,9,0,0,0
30202102709,2,1,0,0,3,0,0,3,0,3,0,0,0
30202102711,0,6,0,0,6,0,0,0,6,0,0,0,6
30202102712,2,0,0,0,2,0,0,2,0,0,2,0,0
30202102713,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102716,9,0,0,0,9,9,0,0,0,9,0,0,0
30202102717,7,4,0,0,11,0,1,10,0,4,1,6,0
30202102718,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102720,0,0,0,2,2,0,2,0,0,0,0,2,0
30202102721,0,5,0,0,5,0,0,1,4,1,0,0,4
30202102722,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102723,0,1,0,0,1,0,0,1,0,1,0,0,0
30202102724,0,1,0,1,2,0,1,1,0,1,1,0,0
30202102725,1,0,0,0,1,0,0,1,0,1,0,0,0
30202102726,4,0,1,0,5,0,0,5,0,5,0,0,0
30202102727,4,0,1,0,5,0,0,5,0,5,0,0,0
30202102728,1,1,0,0,2,1,0,0,1,0,1,0,1
30202102730,0,2,0,0,2,0,0,2,0,2,0,0,0
30202102731,1,0,0,0,1,0,1,0,0,1,0,0,0
30202102732,1,0,0,0,1,0,0,1,0,1,0,0,0
30202102733,0,5,0,0,5,0,0,1,4,1,0,0,4
30202102734,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102736,6,3,0,0,9,0,0,9,0,9,0,0,0
30202102738,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102739,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102740,2,0,0,0,2,0,0,2,0,2,0,0,0
30202102802,0,0,9,0,9,0,0,9,0,0,0,9,0
30202102803,0,4,1,0,5,1,0,4,0,5,0,0,0
30202102804,0,5,0,0,5,4,0,1,0,1,0,4,0
30202102806,3,2,1,0,6,1,0,5,0,6,0,0,0
30202102807,0,4,0,0,4,0,0,4,0,4,0,0,0
30202102808,3,8,0,0,11,0,0,11,0,11,0,0,0
30202102809,1,2,0,0,3,0,0,2,1,2,0,0,1
30202102810,2,4,0,0,6,0,0,4,2,4,0,0,2
30202102812,0,0,2,0,2,0,0,2,0,2,0,0,0
30202102814,6,0,0,0,6,0,6,0,0,2,0,4,0
30202102815,1,1,2,0,4,0,3,1,0,4,0,0,0
30202102816,14,0,5,0,19,0,12,7,0,19,0,0,0
30202102817,4,4,3,0,11,3,0,8,0,7,0,4,0
30202102818,0,4,1,0,5,1,0,4,0,4,1,0,0
30202102819,0,0,2,0,2,0,0,2,0,2,0,0,0
30202102820,8,2,0,0,10,0,0,8,2,0,0,8,2
30202102821,3,0,0,0,3,0,0,3,0,3,0,0,0
30202102822,2,8,0,0,10,0,0,6,4,6,0,0,4
30202102824,5,0,0,0,5,0,0,5,0,5,0,0,0
30202102901,1,0,6,0,7,1,0,6,0,0,1,6,0
30202102902,0,0,5,2,7,0,0,7,0,2,0,5,0
30202102904,0,0,2,0,2,2,0,0,0,0,2,0,0
30202102905,0,6,0,0,6,0,0,6,0,6,0,0,0
30202102906,0,3,0,0,3,0,0,0,3,0,0,0,3
30202102908,0,4,0,0,4,0,0,4,0,4,0,0,0
30202102909,3,2,0,0,5,0,3,0,2,0,0,3,2
30202102910,6,0,0,0,6,0,0,6,0,0,0,6,0
30202102911,6,0,0,0,6,0,0,6,0,0,6,0,0
30202102912,0,0,1,0,1,1,0,0,0,0,0,1,0
30202102913,0,0,5,0,5,2,0,3,0,3,0,2,0
30202102914,0,0,3,0,3,0,0,3,0,3,0,0,0
30202102915,2,0,3,0,5,0,0,5,0,0,0,5,0
30202102916,0,0,1,0,1,0,0,1,0,0,1,0,0
30202102917,0,2,0,0,2,0,0,1,1,1,0,0,1
30202103001,0,0,3,0,3,3,0,0,0,3,0,0,0
30202103002,1,1,0,1,3,1,0,2,0,2,0,1,0
30202103003,0,0,1,0,1,1,0,0,0,0,0,1,0
30202103004,4,0,3,0,7,0,0,7,0,0,4,3,0
30202103005,5,0,5,0,10,0,4,6,0,5,0,5,0
30202103006,1,4,1,0,6,1,1,0,4,2,0,0,4
30202103007,1,2,1,0,4,1,0,1,2,2,0,0,2
30202103008,0,0,3,0,3,3,0,0,0,0,3,0,0
30202103009,0,3,2,0,5,0,1,1,3,1,0,1,3
30202103010,0,4,0,0,4,0,0,0,4,0,0,0,4
30202103011,7,2,0,0,9,0,0,7,2,7,0,0,2
30202103101,0,2,0,0,2,0,0,2,0,2,0,0,0
30202103102,1,0,0,0,1,0,0,1,0,1,0,0,0
30202103103,2,0,0,0,2,0,0,2,0,2,0,0,0
30202103104,0,1,0,0,1,0,0,0,1,0,0,0,1
30202103105,4,1,0,0,5,0,2,2,1,0,2,2,1
30202103106,4,2,0,0,6,0,2,4,0,4,2,0,0
30202103107,1,0,0,0,1,0,0,1,0,0,0,1,0
30202103108,5,0,0,0,5,0,0,5,0,5,0,0,0
30202103109,1,0,0,0,1,1,0,0,0,0,0,1,0
30202103110,2,0,2,0,4,1,0,3,0,3,1,0,0
30202103112,1,0,0,0,1,0,1,0,0,0,0,1,0
30202103113,2,1,0,0,3,0,0,3,0,3,0,0,0
30202103114,0,0,1,0,1,0,0,1,0,0,0,1,0
30202103115,0,2,0,2,4,1,0,3,0,4,0,0,0
30202103116,1,4,3,0,8,1,2,3,2,4,2,0,2
30202103117,6,3,0,0,9,0,0,7,2,7,0,0,2
30202103118,2,2,0,0,4,1,0,3,0,1,1,2,0
30202103119,0,5,0,0,5,0,0,3,2,3,0,0,2
30202103122,3,0,0,0,3,0,2,1,0,1,0,2,0
30202103123,1,0,0,0,1,0,0,1,0,0,1,0,0
30202103124,0,1,0,0,1,0,0,0,1,0,0,0,1
30202103125,2,0,0,0,2,0,0,2,0,2,0,0,0
30202103127,0,3,0,0,3,0,0,3,0,3,0,0,0
30202103130,2,4,0,0,6,0,0,6,0,4,0,2,0
30202103131,2,6,0,0,8,0,0,8,0,8,0,0,0
30202103132,4,0,2,0,6,6,0,0,0,2,4,0,0
30202103202,3,4,0,0,7,0,0,4,3,1,3,0,3
30202103204,1,0,0,0,1,1,0,0,0,1,0,0,0
30202103205,0,2,2,2,6,4,0,0,2,0,2,2,2
30202103206,4,2,0,0,6,0,4,0,2,4,0,0,2
30202103208,0,0,2,0,2,1,1,0,0,1,1,0,0
30202103210,4,2,4,0,10,0,2,8,0,4,0,6,0
30202103211,0,0,2,0,2,2,0,0,0,0,2,0,0
30202103212,7,4,0,0,11,0,7,0,4,7,0,0,4
30202103213,0,2,2,0,4,0,2,2,0,4,0,0,0
30202103214,0,4,4,0,8,3,1,4,0,4,1,3,0
30202103215,1,1,1,0,3,1,0,1,1,0,1,1,1
30202103216,0,0,3,0,3,3,0,0,0,0,3,0,0
30202103217,1,0,1,0,2,0,1,1,0,1,0,1,0
30202103218,0,3,5,0,8,6,0,0,2,2,0,4,2
30202103219,0,0,3,0,3,3,0,0,0,0,0,3,0
30202103220,0,0,3,0,3,0,0,3,0,3,0,0,0
30202103221,6,0,0,7,13,7,0,6,0,6,0,7,0
30202103222,0,1,1,0,2,1,0,1,0,2,0,0,0
30202103223,3,0,0,0,3,0,0,3,0,3,0,0,0
30202103224,10,0,0,0,10,6,0,4,0,10,0,0,0
30202103225,0,3,1,0,4,0,1,0,3,1,0,0,3
30202103301,2,0,2,0,4,0,4,0,0,0,4,0,0
30202103302,1,1,0,0,2,0,0,2,0,2,0,0,0
30202103304,1,2,0,0,3,0,0,3,0,2,1,0,0
30202103305,3,0,0,0,3,1,0,2,0,0,1,2,0
30202103306,3,3,0,0,6,3,1,2,0,2,3,1,0
30202103308,0,1,0,0,1,0,0,1,0,1,0,0,0
30202103309,0,0,2,0,2,2,0,0,0,0,0,2,0
30202103310,0,7,0,0,7,0,0,2,5,2,0,0,5
30202103311,2,1,0,0,3,0,2,0,1,0,2,0,1
30202103312,0,1,2,0,3,1,0,2,0,2,0,1,0
30202103314,0,0,0,2,2,2,0,0,0,0,2,0,0
30202103315,2,2,0,1,5,0,1,4,0,5,0,0,0
